Location,Property Type,Bedrooms,Bathrooms,Size (m2),Amenities,Price (KES)
Nairobi,Bungalow,3,3,152.0,"SQ, Gate",9750000.0
Valley Arcade,Apartment,4,4,251.0,SQ,27000000.0
Nairobi,Bungalow,3,3,150.0,SQ,9750000.0
Lavington,Apartment,4,4,400.0,SQ,110000000.0
Kileleshwa,Apartment,4,4,270.0,SQ,24500000.0
Kahawa Wendani,House,6,5,600.0,SQ,28000000.0
Ridgeways,Townhouse,4,4,320.0,SQ,75000000.0
Runda,Townhouse,4,4,600.0,"Swimming Pool, Security, Lift, En Suite, Fibre, SQ, Gate",350000000.0
South B,Apartment,2,3,200.0,"Security, SQ",7000000.0
Kasarani,Land,2,3,464.0,SQ,39500000.0
Kitisuru,Apartment,2,2,113.0,SQ,12500000.0
Imara Daima,Maisonette,4,3,200.0,SQ,16000000.0
Hurlingham,Maisonette,3,4,980.0,SQ,85000000.0
Kileleshwa,Apartment,4,4,270.0,SQ,25800000.0
Kilimani,House,2,2,120.0,"SQ, Gate",14500000.0
Westlands,Townhouse,4,4,250.0,SQ,50000000.0
Upper Hill,Apartment,3,3,174.0,SQ,19800000.0
Githurai,Apartment,1,4,3200.0,SQ,80000000.0
Hurlingham,Studio,1,2,43.0,SQ,5200000.0
Westlands,Land,4,3,160.0,SQ,33650000.0
Westlands,Villa,5,5,200.0,SQ,131000000.0
Kileleshwa,Studio,1,1,48.0,SQ,4500000.0
South C,Apartment,2,2,152.0,"En Suite, Fibre, SQ",12500000.0
Westlands,Land,1,1,52.0,"SQ, Gate",5500000.0
Westlands,Land,1,1,41.0,SQ,5800000.0
Westlands,Land,1,1,59.0,SQ,7800000.0
Westlands,Maisonette,4,3,300.0,SQ,34000000.0
Lower Kabete,Land,1,1,33.0,SQ,3300000.0
Kilimani,Apartment,3,3,260.0,"Lift, SQ",15500000.0
Muthaiga,Bungalow,5,5,657.0,SQ,400000000.0
Ridgeways,House,8,6,500.0,"Swimming Pool, SQ",110000000.0
Embakasi,Townhouse,3,20,250.0,"Gym, Garden, Security, SQ, Gate, Intercom",7700000.0
Ridgeways,House,5,5,600.0,SQ,64000000.0
Kileleshwa,Apartment,3,3,190.0,SQ,16500000.0
Kasarani,House,6,5,999.0,SQ,55000000.0
Imara Daima,Maisonette,4,4,250.0,"Security, SQ, Gate",15000000.0
Kileleshwa,Apartment,2,2,130.0,SQ,12500000.0
Parklands,Land,3,3,250.0,SQ,21500000.0
Kileleshwa,Apartment,4,4,230.0,SQ,22000000.0
Kileleshwa,Apartment,2,2,90.0,SQ,8500000.0
Kileleshwa,Apartment,1,1,60.0,SQ,7500000.0
Westlands,Townhouse,4,4,1056.0,SQ,113000000.0
Westlands,Studio,1,1,48.0,SQ,8200000.0
Parklands,Land,2,2,90.0,SQ,8000000.0
Parklands,Maisonette,4,4,2800.0,"SQ, Gate",22500000.0
Nairobi,Bungalow,3,3,150.0,SQ,9500000.0
Kilimani,Apartment,1,1,43.0,SQ,5200000.0
Kilimani,Apartment,1,1,55.0,SQ,6500000.0
Nairobi,House,4,4,236.0,SQ,14000000.0
Westlands,Land,1,1,67.0,"Gym, SQ, Intercom",7600000.0
Westlands,Land,1,1,104.0,SQ,6440000.0
Garden Estate,House,4,6,474.0,"Garden, SQ",55000000.0
Westlands,Land,2,2,94.0,SQ,15540000.0
Dagoretti,Townhouse,1,3,49.0,"Security, Borehole, SQ, Gate",4900000.0
Langata,House,4,4,260.0,SQ,35900000.0
Westlands,Land,2,2,1700.0,SQ,22400000.0
Muthaiga,Apartment,2,2,185.0,SQ,13000000.0
Runda,Villa,4,4,350.0,"Security, SQ",52000000.0
Westlands,Land,1,1,57.0,SQ,7700000.0
Nairobi,Bungalow,3,3,150.0,"SQ, Gate",9550000.0
Kileleshwa,House,4,4,270.0,SQ,29500000.0
Karen,House,5,5,500.0,SQ,99000000.0
Kahawa,Bedsitter,54,7,3200.0,SQ,61000000.0
Roysambu,Commercial,1,2,465.0,"Borehole, SQ",122000000.0
Westlands,Land,3,3,198.0,SQ,22250000.0
Kilimani,Apartment,1,1,70.0,SQ,6900000.0
Dagoretti,Apartment,2,3,65.0,SQ,7800000.0
Komarock,House,6,5,400.0,SQ,23000000.0
Kilimani,Apartment,2,2,75.0,SQ,7500000.0
Runda,House,5,5,500.0,SQ,110000000.0
Kilimani,Apartment,2,2,95.0,SQ,7500000.0
Nairobi,Apartment,2,2,5000.0,SQ,12300000.0
Hurlingham,Maisonette,3,3,190.0,"Swimming Pool, Gym, Garden, SQ, Gate, Laundry",23000000.0
Kileleshwa,Apartment,1,1,55.0,SQ,7500000.0
Kilimani,Apartment,3,10,65.0,SQ,7200000.0
Westlands,Land,1,1,65.0,SQ,7000000.0
Hurlingham,House,2,4,60.0,"Garden, SQ",11500000.0
Imara Daima,Apartment,3,2,1854.413242803784,"Garden, SQ, Laundry",13500000.0
Kilimani,Studio,1,1,23.11,SQ,2432000.0
Thome,Maisonette,5,6,1400.0,SQ,89000000.0
Kileleshwa,Studio,1,1,42.0,SQ,4500000.0
Komarock,Maisonette,4,4,505.0,SQ,12500000.0
Kasarani,Apartment,18,6,1023.0,SQ,155000000.0
Parklands,Land,3,3,2700.0,SQ,21000000.0
Kileleshwa,Maisonette,4,3,130.0,SQ,38000000.0
Imara Daima,House,3,3,59.0,"Swimming Pool, Gym, SQ",10500000.0
Kilimani,Apartment,2,5,80.0,"SQ, Laundry",9000000.0
Hurlingham,Apartment,3,3,134.0,SQ,15200000.0
Kileleshwa,Apartment,1,1,58.0,SQ,7500000.0
Westlands,Land,3,3,827.6994781553436,SQ,30000000.0
Kasarani,Bedsitter,2,3,786.0,SQ,26000000.0
Parklands,Land,5,5,1000.0,"Garden, SQ",160000000.0
Langata,Maisonette,3,3,1140.0,SQ,15000000.0
Kileleshwa,Apartment,3,3,208.0,SQ,19500000.0
Kahawa,House,5,5,400.0,"SQ, Gate",55000000.0
Ridgeways,Maisonette,6,5,450.0,"Swimming Pool, Gym, Garden, Lift, SQ, Store",70000000.0
Kilimani,House,6,6,1000.0,"Swimming Pool, SQ",65000000.0
Westlands,Land,1,1,41.0,SQ,5800000.0
Westlands,Land,1,1,5000.0,SQ,7800000.0
Lavington,House,5,5,370.0,"SQ, Store",80000000.0
Garden Estate,Villa,5,7,350.0,"Garden, SQ",75000000.0
Nairobi,Apartment,3,3,300.0,"Garden, SQ",14500000.0
Lavington,Apartment,3,3,170.0,SQ,23000000.0
Kilimani,Apartment,2,2,70.0,SQ,7500000.0
Hurlingham,Land,3,3,205.0,SQ,29500000.0
Lavington,Maisonette,5,5,450.0,SQ,75000000.0
Valley Arcade,Apartment,3,3,138.0,SQ,12800000.0
Roysambu,Commercial,1,2,464.0,SQ,120000000.0
South C,Apartment,2,2,180.0,SQ,8000000.0
Kasarani,Bedsitter,1,2,3200.0,SQ,52000000.0
Kilimani,Apartment,3,3,186.0,SQ,12500000.0
Kitisuru,Villa,5,6,900.0,SQ,75000000.0
Kileleshwa,Apartment,3,3,236.0,SQ,22000000.0
Kilimani,Apartment,3,3,176.53311115283998,SQ,13500000.0
Thome,House,3,3,134.0,"Gym, Lift, SQ",14500000.0
Karen,Maisonette,5,2,550.0,"Gym, SQ, Gate",155000000.0
Hurlingham,Apartment,3,3,250.0,SQ,20000000.0
Hurlingham,Apartment,3,3,173.0,SQ,18500000.0
Westlands,Land,3,3,5000.0,SQ,18300000.0
Kileleshwa,House,4,4,338.0,SQ,34000000.0
Kilimani,Apartment,2,2,61.0,SQ,6200000.0
Karen,Villa,5,4,600.0,SQ,155000000.0
Westlands,Land,5,5,400.0,SQ,110000000.0
Githurai,Bedsitter,1,4,465.0,SQ,34500000.0
South C,Land,4,4,650.0,SQ,110000000.0
Westlands,Land,3,3,5000.0,"Gym, SQ",19500000.0
Donholm,Maisonette,4,5,160.0,"SQ, Gate",18000000.0
Kilimani,Apartment,3,3,118.0,SQ,14800000.0
Runda,Villa,5,4,500.0,SQ,150000000.0
Zimmerman,Commercial,1,2,465.0,SQ,151000000.0
Zimmerman,Bedsitter,1,2,3200.0,SQ,62000000.0
Ridgeways,Maisonette,5,4,500.0,SQ,150000000.0
Westlands,Land,2,2,5000.0,"SQ, Gate",11500000.0
Hurlingham,House,4,4,295.0,SQ,29000000.0
Kitisuru,Apartment,2,2,112.0,SQ,12500000.0
Roysambu,Townhouse,1,2,3200.0,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, Balcony, SQ, Gate, Laundry",118000000.0
Komarock,Maisonette,4,4,550.0,SQ,11000000.0
Karen,Villa,5,5,600.0,SQ,99000000.0
Garden Estate,House,4,6,350.0,"Garden, SQ",55000000.0
South C,Apartment,3,3,1005.6464101572045,Gate,18000000.0
Kilimani,Apartment,4,4,1000.0,"Swimming Pool, Gym, Balcony, SQ",27800000.0
Kileleshwa,Apartment,2,2,125.0,SQ,14500000.0
Kilimani,Apartment,1,1,31.0,SQ,3400000.0
Kiambu,Townhouse,4,4,310.0,SQ,65000000.0
Kileleshwa,Apartment,2,2,166.0,SQ,14000000.0
Dagoretti,Townhouse,6,6,250.0,SQ,25000000.0
Westlands,Land,2,2,110.0,"Swimming Pool, Gym, Lift, SQ, Laundry",14500000.0
Kilimani,Apartment,3,3,5000.0,SQ,29000000.0
Kileleshwa,Apartment,4,4,260.0,SQ,23500000.0
Garden Estate,Commercial,5,6,450.0,"Garden, SQ",90000000.0
Roysambu,Apartment,1,2,3200.0,SQ,156000000.0
Westlands,Land,1,1,55.0,"Parking, SQ",6200000.0
Kahawa,Apartment,2,2,70.0,SQ,5100000.0
